name,n_threads,avg_time,avg_timeout,operations,s_enq,s_deq,enq,deq
sequential,1,1.00596,0,1204224,602112,602112,602112,602112
global_lock,1,1.00098,0,1327104,663552,663552,663552,663552
global_lock,2,1.00119,0,663552,331776,331776,331776,331776
global_lock,4,1.02257,0,360448,180224,180224,180224,180224
global_lock,8,1.03566,0,237568,118784,118784,118784,118784
fine_lock,1,1.00149,0,1327104,663552,663552,663552,663552
fine_lock,2,1.01023,0,770048,385024,385024,385024,385024
fine_lock,4,1.0438,0,729088,364544,364544,364544,364544
fine_lock,8,1.03837,0,1187840,593920,593920,593920,593920
lock_free,1,1.00685,0,999424,499712,499712,499712,499712
lock_free,2,1.01068,0,720896,360448,360448,360448,360448
lock_free,4,1.01475,0,876544,438272,438272,438272,438272
lock_free,8,1.02242,0,1449984,724992,724992,724992,724992
