name,n_threads,avg_time,avg_timeout,operations,s_enq,s_deq,enq,deq
glob,1,1.00455,0,1196032,598016,598016,598016,598016
finelock,1,1.00488,0,1179648,589824,589824,589824,589824
lockfree,1,1.00245,0,876544,438272,438272,438272,438272
glob,2,1.00477,0,720896,360448,360448,360448,360448
finelock,2,1.01654,0,679936,339968,339968,339968,339968
lockfree,2,1.01471,0,606208,303104,303104,303104,303104
glob,4,1.03227,0,278528,139264,139264,139264,139264
finelock,4,1.03508,0,720896,360448,360448,360448,360448
lockfree,4,1.02084,0,802816,401408,401408,401408,401408
glob,8,1.165,0,270336,135168,135168,135168,135168
finelock,8,1.04085,0,1196032,598016,598016,598016,598016
lockfree,8,1.02385,0,1384448,692224,692224,692224,692224
