name,n_threads,avg_time,avg_timeout,operations,s_enq,s_deq,enq,deq
sequential,1,1.00103,0,671744,335872,335872,335872,335872
global_lock,1,1.00249,0,679936,339968,339968,339968,339968
global_lock,2,1.00423,0,303104,151552,151552,151552,151552
global_lock,4,1.04417,0,212992,106496,106496,106496,106496
global_lock,8,1.0934,0,196608,98304,98304,98304,98304
fine_lock,1,1.00154,0,688128,344064,344064,344064,344064
fine_lock,2,1.01123,0,499712,249856,249856,249856,249856
fine_lock,4,1.05406,0,499712,249856,249856,249856,249856
fine_lock,8,1.0865,0,778240,389120,389120,389120,389120
lock_free,1,1.01204,0,417792,208896,208896,208896,208896
lock_free,2,1.01306,0,327680,163840,163840,163840,163840
lock_free,4,1.03995,0,491520,245760,245760,245760,245760
lock_free,8,1.05118,0,835584,417792,417792,417792,417792
