name,n_threads,avg_time,avg_timeout,operations,s_enq,s_deq,enq,deq
sequential,1,1.00001,0,615251968,307625984,307625984,307625984,307625984
global_lock,1,1.00002,0,203694080,101847040,101847040,101847040,101847040
global_lock,2,1.00068,0,14041088,7020544,7020544,7020544,7020544
global_lock,4,1.00126,0,8478720,4239360,4239360,4239360,4239360
global_lock,8,1.0038,0,5103616,2551808,2551808,2551808,2551808
fine_lock,1,1.00004,0,149250048,74625024,74625024,74625024,74625024
fine_lock,2,1.0004,0,17661952,8830976,8830976,8830976,8830976
fine_lock,4,1.00053,0,10059776,5029888,5029888,5029888,5029888
fine_lock,8,1.00288,0,7495680,3747840,3747840,3747840,3747840
lock_free,1,1.00003,0,178429952,89214976,89214976,89214976,89214976
lock_free,2,1.00006,0,25026560,12513280,12513280,12513280,12513280
lock_free,4,1.0013,0,17219584,8609792,8609792,8609792,8609792
lock_free,8,1.00314,0,11190272,5595136,5595136,5595136,5595136
name,n_threads,avg_time,avg_timeout,operations,s_enq,s_deq,enq,deq
sequential,1,1.00001,0,624812032,312406016,312406016,312406016,312406016
global_lock,1,1.00004,0,192905216,96452608,96452608,96452608,96452608
global_lock,2,1.00002,0,14434304,7217152,7217152,7217152,7217152
global_lock,4,1.00109,0,8413184,4206592,4206592,4206592,4206592
global_lock,8,1.0053,0,5562368,2781184,2781184,2781184,2781184
fine_lock,1,1.00002,0,142508032,71254016,71254016,71254016,71254016
fine_lock,2,1.00093,0,14761984,7380992,7380992,7380992,7380992
fine_lock,4,1.00132,0,9478144,4739072,4739072,4739072,4739072
fine_lock,8,1.00269,0,7413760,3706880,3706880,3706880,3706880
lock_free,1,1.00002,0,99336192,49668096,49668096,49668096,49668096
lock_free,2,1.0005,0,15204352,7602176,7602176,7602176,7602176
lock_free,4,1.00109,0,14360576,7180288,7180288,7180288,7180288
lock_free,8,1.00322,0,11517952,5758976,5758976,5758976,5758976
