name,n_threads,avg_time,avg_timeout,operations,s_enq,s_deq,enq,deq
sequential,1,1.00001,0,615251968,307625984,307625984,307625984,307625984
global_lock,1,1.00002,0,203694080,101847040,101847040,101847040,101847040
global_lock,2,1.00068,0,14041088,7020544,7020544,7020544,7020544
global_lock,4,1.00126,0,8478720,4239360,4239360,4239360,4239360
global_lock,8,1.0038,0,5103616,2551808,2551808,2551808,2551808
fine_lock,1,1.00004,0,149250048,74625024,74625024,74625024,74625024
fine_lock,2,1.0004,0,17661952,8830976,8830976,8830976,8830976
fine_lock,4,1.00053,0,10059776,5029888,5029888,5029888,5029888
fine_lock,8,1.00288,0,7495680,3747840,3747840,3747840,3747840
lock_free,1,1.00003,0,178429952,89214976,89214976,89214976,89214976
lock_free,2,1.00006,0,25026560,12513280,12513280,12513280,12513280
lock_free,4,1.0013,0,17219584,8609792,8609792,8609792,8609792
lock_free,8,1.00314,0,11190272,5595136,5595136,5595136,5595136
